id,適用日,職種,都道府県,労務単価
11,2015/02/01,軽作業員,群馬県,13200
12,2015/02/01,造園工,群馬県,19100
13,2015/02/01,法面工,群馬県,24200
14,2015/02/01,とび工,群馬県,20700
15,2015/02/01,石工,群馬県,23800
16,2015/02/01,ブロック工,群馬県,22400
17,2015/02/01,電工,群馬県,18500
18,2015/02/01,鉄筋工,群馬県,22100
19,2015/02/01,鉄骨工,群馬県,21600
20,2015/02/01,塗装工,群馬県,20500
21,2015/02/01,溶接工,群馬県,24400
22,2015/02/01,運転手（特殊）,群馬県,19300
23,2015/02/01,運転手（一般）,群馬県,16300
24,2015/02/01,潜かん工,群馬県,26700
25,2015/02/01,潜かん世話役,群馬県,31600
26,2015/02/01,さく岩工,群馬県,24500
27,2015/02/01,トンネル特殊工,群馬県,27600
28,2015/02/01,トンネル作業員,群馬県,22100
29,2015/02/01,トンネル世話役,群馬県,28900
30,2015/02/01,橋りょう特殊工,群馬県,27000
31,2015/02/01,橋りょう塗装工,群馬県,28100
32,2015/02/01,橋りょう世話役,群馬県,30400
33,2015/02/01,土木一般世話役,群馬県,21800
34,2015/02/01,高級船員,群馬県,29000
35,2015/02/01,普通船員,群馬県,21700
36,2015/02/01,潜水士,群馬県,35900
37,2015/02/01,潜水連絡員,群馬県,22100
38,2015/02/01,潜水送気員,群馬県,23700
39,2015/02/01,山林砂防工,群馬県,25500
40,2015/02/01,軌道工,群馬県,38700
41,2015/02/01,型わく工,群馬県,22200
42,2015/02/01,大工,群馬県,22900
43,2015/02/01,左官,群馬県,21400
44,2015/02/01,配管工,群馬県,18300
45,2015/02/01,はつり工,群馬県,22600
46,2015/02/01,防水工,群馬県,23100
47,2015/02/01,板金工,群馬県,22500
48,2015/02/01,タイル工,群馬県,
49,2015/02/01,サッシ工,群馬県,22500
50,2015/02/01,内装工,群馬県,24700
51,2015/02/01,ガラス工,群馬県,22400
52,2015/02/01,建具工,群馬県,21800
53,2015/02/01,ダクト工,群馬県,18900
54,2015/02/01,保温工,群馬県,20800
55,2015/02/01,設備機械工,群馬県,21100
56,2015/02/01,交通誘導警備員A,群馬県,11400
57,2015/02/01,交通誘導警備員B,群馬県,10000
10,2015/02/01,特殊作業員,埼玉県,20600
11,2015/02/01,普通作業員,埼玉県,18300
12,2015/02/01,軽作業員,埼玉県,13200
13,2015/02/01,造園工,埼玉県,19200
14,2015/02/01,法面工,埼玉県,23300
15,2015/02/01,とび工,埼玉県,24000
16,2015/02/01,石工,埼玉県,24300
17,2015/02/01,ブロック工,埼玉県,
18,2015/02/01,電工,埼玉県,20400
19,2015/02/01,鉄筋工,埼玉県,24300
20,2015/02/01,鉄骨工,埼玉県,22600
21,2015/02/01,塗装工,埼玉県,24000
22,2015/02/01,溶接工,埼玉県,25500
23,2015/02/01,運転手（特殊）,埼玉県,22000
