id,開始日,終了日,職種,都道府県,労務単価
378,2015-02-01,2016-01-31,配管工,茨城県,20200
379,2015-02-01,2016-01-31,はつり工,茨城県,22600
380,2015-02-01,2016-01-31,防水工,茨城県,24200
381,2015-02-01,2016-01-31,板金工,茨城県,24200
382,2015-02-01,2016-01-31,タイル工,茨城県,
383,2015-02-01,2016-01-31,サッシ工,茨城県,23200
384,2015-02-01,2016-01-31,内装工,茨城県,25000
385,2015-02-01,2016-01-31,ガラス工,茨城県,22400
386,2015-02-01,2016-01-31,建具工,茨城県,21800
387,2015-02-01,2016-01-31,ダクト工,茨城県,20200
388,2015-02-01,2016-01-31,保温工,茨城県,20800
389,2015-02-01,2016-01-31,設備機械工,茨城県,21100
390,2015-02-01,2016-01-31,交通誘導警備員A,茨城県,12300
391,2015-02-01,2016-01-31,交通誘導警備員B,茨城県,11100
392,2015-02-01,2016-01-31,特殊作業員,栃木県,19300
393,2015-02-01,2016-01-31,普通作業員,栃木県,16900
394,2015-02-01,2016-01-31,軽作業員,栃木県,12500
395,2015-02-01,2016-01-31,造園工,栃木県,19300
396,2015-02-01,2016-01-31,法面工,栃木県,23300
397,2015-02-01,2016-01-31,とび工,栃木県,21900
398,2015-02-01,2016-01-31,石工,栃木県,24800
399,2015-02-01,2016-01-31,ブロック工,栃木県,22700
400,2015-02-01,2016-01-31,電工,栃木県,18900
401,2015-02-01,2016-01-31,鉄筋工,栃木県,22700
402,2015-02-01,2016-01-31,鉄骨工,栃木県,22200
403,2015-02-01,2016-01-31,塗装工,栃木県,23600
404,2015-02-01,2016-01-31,溶接工,栃木県,26200
405,2015-02-01,2016-01-31,運転手（特殊）,栃木県,19000
406,2015-02-01,2016-01-31,運転手（一般）,栃木県,18100
407,2015-02-01,2016-01-31,潜かん工,栃木県,26900
408,2015-02-01,2016-01-31,潜かん世話役,栃木県,31800
409,2015-02-01,2016-01-31,さく岩工,栃木県,24600
410,2015-02-01,2016-01-31,トンネル特殊工,栃木県,26500
411,2015-02-01,2016-01-31,トンネル作業員,栃木県,22200
412,2015-02-01,2016-01-31,トンネル世話役,栃木県,29100
413,2015-02-01,2016-01-31,橋りょう特殊工,栃木県,27200
414,2015-02-01,2016-01-31,橋りょう塗装工,栃木県,28200
415,2015-02-01,2016-01-31,橋りょう世話役,栃木県,30400
416,2015-02-01,2016-01-31,土木一般世話役,栃木県,21700
417,2015-02-01,2016-01-31,高級船員,栃木県,28900
418,2015-02-01,2016-01-31,普通船員,栃木県,21700
419,2015-02-01,2016-01-31,潜水士,栃木県,34500
420,2015-02-01,2016-01-31,潜水連絡員,栃木県,22600
421,2015-02-01,2016-01-31,潜水送気員,栃木県,24300
422,2015-02-01,2016-01-31,山林砂防工,栃木県,25500
423,2015-02-01,2016-01-31,軌道工,栃木県,41700
424,2015-02-01,2016-01-31,型わく工,栃木県,22300
425,2015-02-01,2016-01-31,大工,栃木県,23600
426,2015-02-01,2016-01-31,左官,栃木県,24300
427,2015-02-01,2016-01-31,配管工,栃木県,20300
428,2015-02-01,2016-01-31,はつり工,栃木県,22700
429,2015-02-01,2016-01-31,防水工,栃木県,25000
430,2015-02-01,2016-01-31,板金工,栃木県,24600
431,2015-02-01,2016-01-31,タイル工,栃木県,
432,2015-02-01,2016-01-31,サッシ工,栃木県,23300
433,2015-02-01,2016-01-31,内装工,栃木県,25400
434,2015-02-01,2016-01-31,ガラス工,栃木県,22500
435,2015-02-01,2016-01-31,建具工,栃木県,21800
436,2015-02-01,2016-01-31,ダクト工,栃木県,20000
437,2015-02-01,2016-01-31,保温工,栃木県,21000
438,2015-02-01,2016-01-31,設備機械工,栃木県,21100
439,2015-02-01,2016-01-31,交通誘導警備員A,栃木県,12000
440,2015-02-01,2016-01-31,交通誘導警備員B,栃木県,10400
441,2015-02-01,2016-01-31,特殊作業員,群馬県,19300
442,2015-02-01,2016-01-31,普通作業員,群馬県,17300
443,2015-02-01,2016-01-31,軽作業員,群馬県,13200
444,2015-02-01,2016-01-31,造園工,群馬県,19100
445,2015-02-01,2016-01-31,法面工,群馬県,24200
446,2015-02-01,2016-01-31,とび工,群馬県,20700
447,2015-02-01,2016-01-31,石工,群馬県,23800
448,2015-02-01,2016-01-31,ブロック工,群馬県,22400
449,2015-02-01,2016-01-31,電工,群馬県,18500
450,2015-02-01,2016-01-31,鉄筋工,群馬県,22100
451,2015-02-01,2016-01-31,鉄骨工,群馬県,21600
